,iteration,vertex_count,mean,deviation
0,10,10,0.076,0.27681040442873533
1,10,25,-0.034,0.2953709532096885
2,10,50,-0.027999999999999997,0.3310830711468045
3,10,100,-0.018,0.3099612879054415
4,10,300,-0.00600000000000001,0.3242899936784976
5,100,10,0.030200000000000005,0.0939146420958947
6,100,25,-0.0162,0.10437221852581269
7,100,50,-0.030600000000000002,0.09395552139177346
8,100,100,-0.0264,0.0992725541124031
9,100,300,-0.0010000000000000018,0.10355191934483882
10,1000,10,0.03622,0.034763078114574374
11,1000,25,-0.020640000000000002,0.03135076394603487
12,1000,50,-0.015899999999999997,0.030179960238542396
13,1000,100,-0.00874,0.034201350850514664
14,1000,300,-0.00966,0.029031093675574816
15,10000,10,0.030958000000000006,0.0101641446270702
16,10000,25,-0.019486,0.011133382415061472
17,10000,50,-0.013643999999999998,0.00948757418943325
18,10000,100,-0.011476000000000002,0.009230418408717992
19,10000,300,-0.010162,0.01081579197285155
