,p,vertex_size,top_1_bary,top_2_bary
0,0.5,10.0,0.4997491596993262,0.4997491596993136
1,0.5,20.0,0.4999865158545317,0.499986515854411
2,0.5,30.0,0.4999920241115007,0.4999920241114239
3,0.6,10.0,0.4998369538035514,0.4997491596994169
4,0.6,20.0,0.6111092066132168,0.3697488879302895
5,0.6,30.0,0.75822839388036,0.20953326691825938
6,0.7,10.0,0.7042013224987613,0.27384259141820877
7,0.7,20.0,0.7669746537271531,0.203399738920173
8,0.7,30.0,0.8012791889313672,0.16789268504637406
9,0.8,10.0,0.6825691618662602,0.3021142738332031
10,0.8,20.0,0.7616340374897711,0.20917026083228607
11,0.8,30.0,0.8223701770478634,0.15026602187986343
12,0.9,10.0,0.7504919961282704,0.22338196303874458
13,0.9,20.0,0.8302333156127017,0.1422101554208072
14,0.9,30.0,0.7946199256534964,0.16309533529679085
